refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
GI01SUMO-RII11-02-CTDMOQ015,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
GI01SUMO-RII11-02-CTDMOQ016,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
GI01SUMO-RII11-02-CTDMOQ017,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
GI01SUMO-RII11-02-CTDMOQ031,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI01SUMO-RII11-02-CTDMOQ033,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI01SUMO-RII11-02-CTDMOR018,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
GI01SUMO-RII11-02-CTDMOR019,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
GI01SUMO-RII11-02-CTDMOR020,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,84%,100%,100%,3%,63%,65%,83%,100%,100%,100%,100%,100%,100%,32%,,,23%,,
GI01SUMO-RII11-02-DOSTAD031,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,27%,,,,,,,,71%,100%,100%,100%,100%,100%,32%,,,,,
GI01SUMO-RII11-02-DOSTAD032,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,53%,81%,100%,100%,3%,3%,,,71%,100%,100%,100%,90%,,,,,,,
GI01SUMO-RII11-02-DOSTAD033,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,53%,81%,100%,100%,3%,60%,65%,37%,71%,100%,100%,100%,100%,100%,32%,,,20%,,
GI01SUMO-RII11-02-FLORDG031,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,27%,,,,,,,,71%,100%,100%,100%,100%,100%,32%,,,,,
GI01SUMO-RII11-02-FLORDG032,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,53%,81%,100%,100%,3%,3%,,,71%,100%,100%,100%,90%,,,,,,,
GI01SUMO-RII11-02-FLORDG033,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,53%,81%,100%,100%,3%,60%,65%,37%,71%,100%,100%,100%,100%,100%,32%,,,20%,,
GI01SUMO-RII11-02-PCO2WC051,,,,,,,,,,,,,,,,,,,,,,,,,,10%,20%,,,,,,,,,,3%,,,,,,,,,,,
GI01SUMO-RII11-02-PCO2WC052,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,,,,,,,,,19%,,,,,,,,,,,
GI01SUMO-RII11-02-PCO2WC053,,,,,,,,,,,,,,,,,,,,,,,,,,13%,30%,26%,17%,23%,29%,28%,,20%,19%,23%,35%,29%,27%,29%,27%,29%,10%,,,10%,,
GI01SUMO-RII11-02-PHSENE041,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,53%,29%,,,,,,,26%,,,,,,,,,,,
GI01SUMO-RII11-02-PHSENE042,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,57%,87%,100%,48%,,,,,68%,100%,100%,100%,100%,100%,32%,,,,,
GI01SUMO-SBD11-04-DOSTAD000,,,,,,,,,,,,,,,23%,,,,,,,,,,,45%,87%,87%,83%,87%,81%,,,,,,61%,87%,87%,84%,93%,100%,32%,,,17%,,
GI01SUMO-SBD11-05-SPKIRB000,,,,,,,,,,,,,,,23%,,,,,,,,,,13%,45%,87%,87%,83%,87%,74%,,,,,,61%,87%,87%,84%,90%,100%,29%,,,,,
GI01SUMO-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI01SUMO-SBD11-08-NUTNRB000,,,,,,,,,,,,,,,,,,,,,,,,,,55%,100%,100%,100%,100%,94%,,,,,,,,,,,,,,,,,
GI01SUMO-SBD12-01-OPTAAD000,,,,,,,,,,,,,,,23%,,,,,,,,,,,45%,87%,87%,83%,87%,71%,,,10%,,,61%,87%,87%,84%,90%,100%,29%,,,,,
GI01SUMO-SBD12-02-FLORTD000,,,,,,,,,,,,,,,23%,,,,,,,,,,,45%,87%,87%,83%,87%,84%,62%,,30%,52%,,61%,87%,87%,84%,90%,100%,29%,,,,,
GI01SUMO-SBD12-04-PCO2AA000,,,,,,,,,,,,,,,30%,,,,,,,,,3%,,55%,100%,100%,100%,100%,87%,,,,,,71%,100%,100%,100%,77%,19%,3%,,,,,
GI01SUMO-SBD12-05-WAVSSA000,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,71%,100%,100%,100%,80%,32%,6%,,,,,
GI01SUMO-SBD12-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI01SUMO-SBD12-08-FDCHPA000,,,,,,,,,,,,,,,30%,,,,,,,,,,,55%,100%,100%,100%,100%,100%,,,10%,,,71%,100%,100%,100%,77%,23%,3%,,,,,
GI02HYPM-RIM01-02-CTDMOG039,,,,,,,,,,,,,,,60%,100%,100%,97%,84%,39%,,,,,,48%,100%,97%,40%,,,,,,,,68%,32%,,,,,,,,,,
GI02HYPM-WFP02-01-FLORDL000,,,,,,,,,,,,,,,53%,97%,83%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI02HYPM-WFP02-03-DOSTAL000,,,,,,,,,,,,,,,53%,97%,83%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI02HYPM-WFP02-04-CTDPFL000,,,,,,,,,,,,,,,57%,100%,97%,29%,,,,,,,,,,,,,,,,,,,65%,26%,,,,,,,,,,
GI02HYPM-WFP02-05-VEL3DL000,,,,,,,,,,,,,,,,3%,3%,19%,,,,,,,,,,,,,,,,,,,58%,16%,,,,,,,,,,
GI03FLMA-RI000-00-CTDMOH000,,,,,,,,,,,,,,,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,
GI03FLMA-RI000-00-CTDMOH100,,,,,,,,,,,,,,,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,
GI03FLMA-RI000-00-CTDMOH400,,,,,,,,,,,,,,,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,
GI03FLMA-RI000-00-CTDMOH700,,,,,,,,,,,,,,,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,
GI03FLMA-RI000-00-VELPTB000,,,,,,,,,,,,,,,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,
GI03FLMA-RI000-00-VELPTB100,,,,,,,,,,,,,,,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,
GI03FLMA-RI000-00-VELPTB400,,,,,,,,,,,,,,,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,
GI03FLMA-RI000-00-VELPTB700,,,,,,,,,,,,,,,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,
GI03FLMA-RIM01-02-ADCPSL003,,,,,,,,,,,,,,,60%,100%,100%,97%,81%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,74%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOG040,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOG041,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOG042,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOG043,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOG044,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOG045,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOG046,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOG047,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOG048,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOH049,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOH050,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIM01-02-CTDMOH051,,,,,,,,,,,,,,,60%,100%,100%,94%,74%,,,,,,,42%,100%,100%,,,,,,,,,65%,100%,100%,84%,,,,,,,,
GI03FLMA-RIS01-03-DOSTAD000,,,,,,,,,,,,,,,60%,100%,100%,97%,84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI03FLMA-RIS01-04-PHSENF000,,,,,,,,,,,,,,,57%,100%,100%,77%,35%,,,,,,,39%,90%,77%,,,,,,,,,55%,87%,,,,,,,,,,
GI03FLMA-RIS01-05-FLORTD000,,,,,,,,,,,,,,,60%,100%,100%,100%,84%,,,,,,,42%,100%,100%,,,,,,,,,65%,97%,,,,,,,,,,
GI03FLMB-RI000-00-CTDMOH000,,,,,,,,,,,,,,,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,,,,,,,,,,,
GI03FLMB-RI000-00-CTDMOH100,,,,,,,,,,,,,,,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,,,,,,,,,,,
GI03FLMB-RI000-00-CTDMOH400,,,,,,,,,,,,,,,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,,,,,,,,,,,
GI03FLMB-RI000-00-CTDMOH700,,,,,,,,,,,,,,,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,,,,,,,,,,,
GI03FLMB-RI000-00-VELPTB000,,,,,,,,,,,,,,,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,,,,,,,,,,,
GI03FLMB-RI000-00-VELPTB100,,,,,,,,,,,,,,,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,,,,,,,,,,,
GI03FLMB-RI000-00-VELPTB400,,,,,,,,,,,,,,,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,,,,,,,,,,,
GI03FLMB-RI000-00-VELPTB700,,,,,,,,,,,,,,,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,,,,,,,,,,,
GI03FLMB-RIM01-02-ADCPSL007,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,42%,,,,,,,,,,,
GI03FLMB-RIM01-02-CTDMOG060,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOG061,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOG062,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOG063,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOG064,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOG065,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOG066,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOG067,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOG068,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOH069,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOH070,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIM01-02-CTDMOH071,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,35%,100%,100%,57%,,,,,,,,61%,100%,100%,87%,23%,,,,,,,
GI03FLMB-RIS01-03-DOSTAD000,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,11%,,,,,,,,,,,,,,,,,,,7%,,,,,,,,,
GI03FLMB-RIS01-04-PHSENF000,,,,,,,,,,,,,,,43%,100%,100%,97%,74%,7%,,,,,,6%,,,20%,,,,,,,,52%,94%,97%,23%,,,,,,,,
GI03FLMB-RIS01-05-FLORTD000,,,,,,,,,,,,,,,47%,100%,100%,100%,100%,14%,,,,,,6%,,,20%,,,,,,,,61%,100%,100%,29%,,,,,,,,
GI05MOAS-GL469-01-FLORDM000,,,,,,,,,,,,,,,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL469-02-DOSTAM000,,,,,,,,,,,,,,,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL469-04-CTDGVM000,,,,,,,,,,,,,,,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL477-01-FLORDM000,,,,,,,,,,,,,,,70%,100%,100%,100%,100%,100%,100%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL477-02-DOSTAM000,,,,,,,,,,,,,,,70%,100%,100%,100%,100%,100%,100%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL477-04-CTDGVM000,,,,,,,,,,,,,,,70%,100%,100%,100%,100%,100%,100%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL478-01-FLORDM000,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL478-02-DOSTAM000,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL478-04-CTDGVM000,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL484-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,40%,42%,,,,,,,,
GI05MOAS-GL484-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,40%,42%,,,,,,,,
GI05MOAS-GL484-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,40%,42%,,,,,,,,
GI05MOAS-GL485-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,63%,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL485-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,63%,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL485-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,63%,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL495-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,13%,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL495-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,13%,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL495-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,13%,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL559-01-FLORDM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,100%,60%,81%,100%,100%,16%,,,,,
GI05MOAS-GL559-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,100%,60%,81%,100%,100%,16%,,,,,
GI05MOAS-GL559-04-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,100%,60%,81%,100%,100%,19%,,,,,
GI05MOAS-PG528-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,100%,100%,97%,100%,55%,,,,,,,,,,,,,,,
GI05MOAS-PG528-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,100%,100%,94%,100%,52%,,,,,,,,,,,,,,,
GI05MOAS-PG528-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG528-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG528-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,100%,100%,94%,100%,52%,,,,,,,,,,,,,,,
GI05MOAS-PG528-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,48%,100%,100%,100%,100%,94%,100%,52%,,,,,,,,,,,,,,,
GI05MOAS-PG564-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG564-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG564-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG564-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG564-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG564-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG577-01-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG577-02-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG577-03-FLORTM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG577-04-FLORTO000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG577-05-NUTNRM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG577-06-PARADM000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP02HYPM-RIM01-02-CTDMOG039,,,,,,,,,,,,,,,,,,,,,,,,87%,100%,100%,100%,100%,100%,100%,13%,,,,,,,74%,,,,,,,,,,
GP02HYPM-WFP02-01-FLORDL000,16%,94%,90%,97%,93%,100%,97%,86%,,,,30%,100%,100%,100%,55%,,,,,,,,83%,100%,100%,93%,97%,97%,71%,6%,,,,,,,,,,,,,,,,,
GP02HYPM-WFP02-03-DOSTAL000,16%,94%,90%,97%,93%,100%,97%,86%,,,,30%,100%,100%,100%,55%,,,,,,,,83%,100%,100%,93%,97%,97%,71%,6%,,,,,,,,,,,,,,,,,
GP02HYPM-WFP02-04-CTDPFL000,19%,90%,93%,97%,93%,100%,100%,82%,,,,30%,100%,97%,100%,58%,,,,,,,,87%,100%,100%,97%,100%,100%,97%,10%,,,,,,,,,,,,,,,,,
GP02HYPM-WFP02-05-VEL3DL000,19%,94%,87%,87%,93%,100%,100%,75%,,,,30%,100%,94%,100%,48%,,,,,,,,70%,81%,84%,80%,81%,77%,35%,3%,,,,,,,45%,,,,,,,,,,
GP02HYPM-WFP03-01-FLORDL000,19%,87%,97%,100%,97%,100%,100%,86%,,,,30%,100%,97%,97%,55%,,,,,,,,87%,94%,90%,90%,90%,80%,68%,,,,,,,,,,,,,,,,,,
GP02HYPM-WFP03-03-DOSTAL000,19%,87%,97%,100%,97%,100%,100%,86%,,,,30%,100%,97%,97%,55%,,,,,,,,87%,94%,90%,90%,90%,80%,68%,,,,,,,,,,,,,,,,,,
GP02HYPM-WFP03-04-CTDPFL000,19%,87%,97%,97%,97%,100%,100%,82%,,,,3%,,,,,,,,,,,,87%,100%,100%,100%,100%,97%,84%,,,,,,,,55%,,,,,,,,,,
GP02HYPM-WFP03-05-VEL3DL000,19%,77%,83%,94%,90%,87%,90%,79%,,,,30%,100%,100%,100%,48%,,,,,,,,80%,87%,84%,90%,77%,77%,39%,3%,,,,,,,45%,,,,,,,,,,
GP03FLMA-RIM01-02-ADCPSL003,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOG040,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOG041,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOG042,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOG043,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOG044,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOG045,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOG046,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOG047,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOG048,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOH049,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOH050,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIM01-02-CTDMOH051,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,26%,,,,,,,,,,,
GP03FLMA-RIS01-03-DOSTAD000,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,32%,,,,,,,,,,,
GP03FLMA-RIS01-04-PHSENF000,,,,,,,,,,,,43%,100%,100%,100%,100%,57%,,,,,,,80%,100%,94%,100%,97%,97%,97%,94%,90%,35%,,,,6%,,,,,,,,,,,
GP03FLMA-RIS01-05-FLORTD000,,,,,,,,,,,,43%,100%,100%,100%,100%,70%,,,,,,,80%,100%,100%,100%,100%,100%,100%,100%,100%,45%,,,,32%,,,,,,,,,,,
